
1.5.5,ExoPlanet,Connect planets to SystemResourceManager,High,Complete,Colonized planets produce resources every tick
1.5.6,ExoPlanet,Enable click to generate planet resource log,Medium,Complete,Logs production to console on click
1.5.7,ExoPlanet,Add random traits and bonuses to planet data,Medium,Planned,Traits influence colonization decision
1.5.8,ExoPlanet,Design placeholder for structure build slots,Medium,Planned,Each planet can host 1–3 structures
1.5.9,ExoPlanet,Create PlanetInfoPanel.cs display format,High,In Progress,Panel displays name, resources, time colonized
1.5.10,ExoPlanet,Add hover or selection highlight for planet,Low,Planned,Visual indication when targeting a planet
1.6,ExoPlanet,Resource & Economy,High,Planned,Game-wide resource tracking, production, costs
1.6.1,ExoPlanet,Define resource types (food, materials, energy),High,Complete,Used in PlanetInfo.cs and SystemResourceManager
1.6.2,ExoPlanet,Track total resources across colonized planets,High,Complete,SystemResourceManager updates totals on tick
1.6.3,ExoPlanet,Display resource totals in UI,High,Complete,Linked to TextMeshPro in StarSystem scene
1.6.4,ExoPlanet,Set tick interval for resource collection,Medium,Complete,Currently every 3 seconds
1.6.5,ExoPlanet,Allow toggle of colonization to affect output,Medium,Complete,Colonized flag controls inclusion in tick
1.6.6,ExoPlanet,Create resource cost system for actions,High,Planned,Used for colonization, structures, or shipbuilding
1.6.7,ExoPlanet,Log resource generation per planet for debug,Low,Complete,Output to console on click
1.6.8,ExoPlanet,Design basic resource report panel,Medium,Planned,Popup or panel to summarize production per system
1.6.9,ExoPlanet,Implement resource limits or caps,Medium,Planned,Optional max values for balance and challenge
1.6.10,ExoPlanet,Prepare for multi-system resource tracking,Medium,Planned,Enable future expansion of economy across systems
1.7,ExoPlanet,Travel & Combat,High,Planned,Ship movement, gravity drive, basic combat
1.7.1,ExoPlanet,Define ship data model (name, type, speed),High,Planned,Used to represent player and AI vessels
1.7.2,ExoPlanet,Implement basic ship prefab with visual icon,Medium,Planned,Simple sprite to represent ships in scene
1.7.3,ExoPlanet,Enable ship spawn in StarSystem scene,High,Planned,For testing gravity drive and movement
1.7.4,ExoPlanet,Design gravity drive travel mechanic,High,Planned,Ship enters system at star edge
1.7.5,ExoPlanet,Allow player to assign ship to destination star,High,Planned,Uses Galaxy Map to set target
1.7.6,ExoPlanet,Handle scene transfer for ship arrival,Medium,Planned,Trigger when ship reaches target star
1.7.7,ExoPlanet,Create enemy ship prefab and spawn logic,High,Planned,First phase of hive threat simulation
1.7.8,ExoPlanet,Implement simple combat collision logic,Medium,Planned,Prototype for ship-to-ship interaction
1.7.9,ExoPlanet,Add health and damage stats to ships,Medium,Planned,Foundation for tactical combat
1.7.10,ExoPlanet,Log travel and combat outcomes,Low,Planned,Used for debugging and future UI stats
1.8,ExoPlanet,Save & Load,Medium,Planned,Game state management and persistence
1.9,ExoPlanet,Optimization & Mobile,Medium,Planned,Performance tuning and mobile UI
1.10,ExoPlanet,Narrative & Lore Integration,Medium,Planned,Progenitor story arc, hive threat
1.11,ExoPlanet,EP1 Polishing & Tutorials,Medium,Planned,Polish, feedback loops, and onboarding

Seq,Project,Task,Priority,Status,Notes
2.1,GeorgeAI1.0,Add weekly reminders system to SOD,High,Complete,Implemented in helper.py and sod_generator.py
2.2,GeorgeAI1.0,Fix greeting to be time-aware,Medium,Pending,Currently always says 'Good morning'
2.3,GeorgeAI1.0,Disable clear screen during debug,Low,Pending,Allows testing visibility
2.4,GeorgeAI1.0,Integrate mental clarity module into SOD,High,In Progress,Rotating clarity/mood check daily
2.5,GeorgeAI1.0,Sync Garmin CSV weekly and correlate with mood,High,In Progress,First snapshot completed
2.6,GeorgeAI1.0,Integrate BeFocused CSV for productivity tracking,Medium,Planned,Weekly CSV ingestion planned


3.1,Spanish AI,Log vocabulary from daily Duolingo videos,High,In Use,CSV logging via UA processing
3.2,Spanish AI,Create Quizlet flashcards from vocab logs,Medium,Planned,Based on unified vocabulary

4.1,Health,Upload Garmin data weekly,High,In Use,Manual screenshots and CSV available
4.2,Health,Track clarity drops vs sleep/stress trends,High,In Progress,Comparison engine started

5.1,Volunteering,Prepare OF-301a and intro letters,Mediun, Completed,NPS fall season application prep
5.2,Volunteering,Submit Montezuma Well application,Medium,Completed,First target volunteer site

2.0,GeorgeAI1.0,Project GeorgeAI v1.0,High,In Progress,Top-level coordination
2.1,GeorgeAI1.0,UI Framework & Design,High,Planned,Tkinter, PyQt, or Web; UX layout planning
2.2,GeorgeAI1.0,Core Data System,High,Planned,Task JSONs, SOD/EOD logs, file handling
2.3,GeorgeAI1.0,Task Management UI,High,Planned,Display, add/edit/delete/check tasks
2.4,GeorgeAI1.0,Reflection & Planning UI,High,Planned,Show SOD/EOD, allow journaling
2.5,GeorgeAI1.0,GPT Integration,High,Planned,Ask/answer via OpenAI
2.6,GeorgeAI1.0,Data Analysis & Trends,Medium,Planned,Pattern detection, clarity/mood summaries
2.7,GeorgeAI1.0,Settings, Shortcuts, Automation,Medium,Planned,Preferences, reminders, keyboard shortcuts
2.8,GeorgeAI1.0,Future Enhancements,Medium,Planned,Multi-user, sync, mobile, voice control
